YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
85,9,13,20,169,9.9,12.1,3.4,11.1,7.8,999,983.2,9.3,999,999,99
85,9,13,21,179,8.2,10.1,3.3,12.5,7.7,999,982.9,9.6,999,999,99
85,9,13,22,174,10,13.5,3.4,11.1,7.7,999,982.5,9.6,999,999,99
85,9,13,23,176,10.6,13.1,3.4,11.1,7.2,999,982.4,9.8,999,999,99
85,9,14,0,178,12.4,15.8,3.9,10,7.3,999,981.8,9.8,999,999,99
85,9,14,1,174,11.6,15.2,4,10,7.3,999,982,9.9,999,999,99
85,9,14,2,165,10,13.2,4.3,10,7.8,999,981.9,9.8,999,999,99
85,9,14,3,166,11,13.6,4.3,10,7.6,999,981.2,9.3,999,999,99
85,9,14,4,172,10.1,12.8,4.3,11.1,7.9,999,980.6,9.3,999,999,99
85,9,14,5,165,10,13.4,4.4,11.1,8,999,980.1,9.2,999,999,99
85,9,14,6,156,7.8,10.4,5.2,11.1,8.6,999,980.1,9.1,999,999,99
85,9,14,7,207,5.4,7.7,4.9,12.5,8.6,999,980.2,8.5,999,999,99
85,9,14,10,197,4.8,6.9,5,11.1,8.6,999,981.1,8.5,999,999,99
85,9,14,11,210,1.5,2.1,4.6,11.1,8.4,999,981.7,8.4,999,999,99
85,9,14,12,309,2.1,3.3,4.4,10,8.4,999,982.4,8.5,999,999,99
85,9,14,13,315,4.5,6,4.1,11.1,8.3,999,983.5,8.6,999,999,99
85,9,14,14,333,5.8,7.8,4.1,11.1,8.4,999,984.6,8.3,999,999,99
85,9,14,15,341,4,5.8,3.9,11.1,8.4,999,986.3,7.9,999,999,99
85,9,14,16,319,4.9,7,4.2,11.1,8.8,999,987.7,9.1,999,999,99
85,9,14,17,330,6.6,9.5,4.1,11.1,8.8,999,989.1,9.3,999,999,99
85,9,14,18,350,8.7,11.7,4.2,11.1,8.8,999,990.5,8.7,999,999,99
85,9,14,19,1,9.4,12.3,4.8,11.1,8.8,999,992.1,8,999,999,99
85,9,14,20,6,8.5,11.3,4.2,10,8.2,999,993.8,7.7,999,999,99
85,9,14,21,8,8.4,11,4.3,11.1,8.5,999,995.3,7.7,999,999,99
85,9,14,22,13,8.4,11.1,4.6,12.5,8.5,999,996.7,7.6,999,999,99
85,9,14,23,9,7.4,10.5,4.4,12.5,8.4,999,998.1,7.4,999,999,99
85,9,15,0,7,7.9,10.1,3.7,11.1,7.8,999,999.5,6.9,999,999,99
85,9,15,1,5,8.3,11.4,4.2,11.1,8.1,999,1000.8,6.7,999,999,99
85,9,15,2,12,8.6,10.6,4.2,12.5,8.2,999,1001.8,6.5,999,999,99
85,9,15,3,20,7.6,10.4,3.8,11.1,8,999,1003,6.6,999,999,99
85,9,15,4,16,7.4,10,4,12.5,8.1,999,1003.9,6.9,999,999,99
85,9,15,5,9,8.1,10.4,4.7,12.5,8.9,999,1005.1,6.3,999,999,99
85,9,15,6,21,6.4,8,4.4,11.1,8.7,999,1006.4,6.6,999,999,99
85,9,15,7,26,6.6,8.4,4.2,11.1,8.4,999,1007.6,6.7,999,999,99
85,9,15,10,353,5.4,7.4,3.4,11.1,8.2,999,1010.8,6.4,999,999,99
85,9,15,11,1,4.3,5.9,3.6,12.5,8.4,999,1011.8,6.2,999,999,99
85,9,15,12,1,3.6,5.1,3.4,11.1,8.1,999,1012.7,6.1,999,999,99
85,9,15,13,335,3.1,4.4,3,10,7.9,999,1013.7,5.8,999,999,99
85,9,15,14,1,3.5,5.1,3.2,11.1,7.9,999,1014.4,5.5,999,999,99
85,9,15,15,3,4,5.3,3.1,11.1,8.1,999,1015,5.8,999,999,99
85,9,15,16,1,1.5,3.4,3.1,11.1,8,999,1015.7,5.8,999,999,99
85,9,15,17,330,2.2,3.7,3.2,11.1,8.1,999,1016.3,5.5,999,999,99
85,9,15,18,27,3.9,5.8,2.5,10,7.5,999,1017.1,5.8,999,999,99
85,9,15,19,21,3.9,5.1,2.6,11.1,7.7,999,1018.1,6.1,999,999,99
85,9,15,20,26,2.4,4.1,2.9,10,7.7,999,1019.1,6.4,999,999,99
85,9,15,21,38,1.4,2.6,2.5,10,7.4,999,1020,6.6,999,999,99
85,9,15,22,49,1.1,2.1,2.7,10,7.7,999,1020.8,6.8,999,999,99
85,9,15,23,46,0.3,1.6,2.3,10,7.4,999,1021.6,7.3,999,999,99
85,9,16,0,80,1.5,2.3,2.4,10,7.4,999,1022.1,7.4,999,999,99
85,9,16,1,120,0.9,2.5,2,10,7.1,999,1022.7,7.2,999,999,99
85,9,16,2,178,1.5,2.9,2.1,9.1,7.1,999,1023.2,7,999,999,99
85,9,16,3,38,0.3,1,2.2,9.1,7.2,999,1023.2,6.7,999,999,99
85,9,16,4,49,0.8,2.3,2,9.1,7,999,1023.4,6.7,999,999,99
85,9,16,5,78,1.2,2.3,1.8,9.1,6.8,999,1023.6,6.7,999,999,99
85,9,16,6,97,1.4,2.5,2,9.1,7,999,1023.7,6.8,999,999,99
85,9,16,7,91,2.3,3.7,1.7,8.3,6.6,999,1024,6.6,999,999,99
85,9,16,10,144,3.5,4.3,1.6,8.3,6.7,999,1024.3,7.4,999,999,99
85,9,16,11,156,3.1,3.7,1.6,8.3,6.8,999,1024.5,7.4,999,999,99
85,9,16,12,166,3.1,3.8,1.5,9.1,6.9,999,1024.5,7.5,999,999,99
85,9,16,13,185,1.9,2.6,1.4,9.1,6.7,999,1024.6,7.4,999,999,99
85,9,16,14,192,1.9,2.7,1.4,9.1,6.8,999,1024.6,7.2,999,999,99
85,9,16,15,181,0.3,0.9,1.5,8.3,7,999,1024.4,7.2,999,999,99
85,9,16,16,239,1.1,1.9,1.3,8.3,6.6,999,1024.3,7.5,999,999,99
85,9,16,17,237,0.5,1.3,1.3,7.7,6.6,999,1024.3,7.5,999,999,99
85,9,16,18,296,2.7,4.4,1.3,8.3,6.8,999,1024.6,7.3,999,999,99
85,9,16,19,274,2.6,3.5,1.3,8.3,6.7,999,1025,7.4,999,999,99
85,9,16,20,284,3.2,3.8,1.3,9.1,6.9,999,1025.2,7.3,999,999,99
85,9,16,21,278,3.6,4.4,1.2,8.3,6.6,999,1026.1,7.5,999,999,99
85,9,16,22,271,4.3,5,1.2,9.1,6.9,999,1026.5,7.6,999,999,99
85,9,16,23,274,4,5,1.1,9.1,6.9,999,1026.5,7.7,999,999,99
85,9,17,0,279,3.6,4.5,1.1,8.3,6.6,999,1026.6,7.8,999,999,99
85,9,17,1,281,3.5,4.7,1.1,9.1,6.7,999,1026.4,7.7,999,999,99
85,9,17,2,278,4.4,5.4,1,9.1,6.4,999,1026.5,7.6,999,999,99
85,9,17,3,302,3.7,4.8,0.9,9.1,6.2,999,1026.2,7.8,999,999,99
85,9,17,4,300,2.9,3.8,0.9,9.1,6,999,1026.2,7.8,999,999,99
85,9,17,5,294,1.9,2.7,0.9,7.7,6.3,999,1025.8,7.8,999,999,99
85,9,17,6,289,0.2,1,0.9,10,6.3,999,1025.7,7.7,999,999,99
85,9,17,7,295,0.9,2.4,0.9,10,6.4,999,1025.4,7.4,999,999,99
85,9,17,8,248,1.1,1.6,0.9,9.1,6.1,999,1025.4,7.6,999,999,99
85,9,17,10,220,0.9,1.9,0.9,9.1,6.5,999,1024.8,7.5,999,999,99
85,9,17,11,185,1.1,1.8,0.8,9.1,6.2,999,1024.3,7.3,999,999,99
85,9,17,12,316,0.6,1.3,0.8,9.1,6.2,999,1024.1,7.2,999,999,99
85,9,17,13,143,2,3,0.7,9.1,6.2,999,1023.5,6.9,999,999,99
85,9,17,14,77,0.9,1.6,0.8,10,6.6,999,1022.9,6.7,999,999,99
85,9,17,15,181,0.1,0.6,0.8,9.1,6.4,999,1022.4,6.7,999,999,99
85,9,17,16,1,0,0.1,0.8,8.3,6.3,999,1022,6.7,999,999,99
85,9,17,17,68,0.5,1.4,0.8,10,6.1,999,1021.3,6.6,999,999,99
85,9,17,18,348,2.3,3.1,0.8,10,6.7,999,1020.9,6.6,999,999,99
85,9,17,19,14,3.9,5.5,0.7,10,6.3,999,1022.2,7.1,999,999,99
85,9,17,20,29,4.4,5.5,0.7,10,6.1,999,1021.7,7.1,999,999,99
85,9,17,21,7,5.9,7.4,0.8,10,6.1,999,1021.2,6.8,999,999,99
85,9,17,22,34,4.6,5.8,0.7,9.1,5.4,999,1020.8,6.8,999,999,99
85,9,17,23,9,5.8,7.2,0.8,9.1,5.5,999,1020.2,7.1,999,999,99
85,9,18,0,352,5.6,7.6,0.8,10,5.1,999,1019.9,7.2,999,999,99
85,9,18,1,355,6.2,8,0.8,9.1,5.2,999,1019.3,7.2,999,999,99
85,9,18,2,338,7,8.5,0.8,8.3,4.7,999,1018.2,7.1,999,999,99
85,9,18,3,356,7,8.7,0.8,8.3,4.5,999,1017.8,7.3,999,999,99
85,9,18,4,0,7,8.5,0.8,3.7,4.5,999,1017,7.1,999,999,99
85,9,18,5,10,7,9.1,0.8,4,4.4,999,1016.4,7.2,999,999,99
85,9,18,6,12,6.7,8.7,0.9,4.2,4.4,999,1016.4,7.1,999,999,99
85,9,18,7,0,5.8,7.4,0.8,4,4.4,999,1016.2,7.2,999,999,99
85,9,18,10,35,5.4,7.1,0.9,4,4.3,999,1016.2,7.5,999,999,99
85,9,18,11,32,3.9,5.5,0.9,4.8,4.5,999,1016.3,7.5,999,999,99
85,9,18,12,3,4.8,6.5,1.2,6.3,5.1,999,1016.2,7.6,999,999,99
85,9,18,13,8,4.9,6.6,1.4,6.7,5.4,999,1016.2,7.4,999,999,99
85,9,18,14,325,2.9,4.2,1.4,7.1,5.5,999,1016.2,6.9,999,999,99
85,9,18,15,0,4.2,5.3,1.5,7.7,5.8,999,1016.2,7.1,999,999,99
85,9,18,16,350,4.5,5.8,1.8,8.3,6.3,999,1016,7.2,999,999,99
85,9,18,17,337,4.8,6.4,2.2,9.1,7.1,999,1016,7.1,999,999,99
85,9,18,18,329,5,6.6,2.5,10,7.5,999,1016.1,7.1,999,999,99
85,9,18,19,332,6.2,9.6,2.4,10,7.5,999,1016.4,5.9,999,999,99
85,9,18,20,3,5.4,7,2.6,11.1,7.5,999,1016.6,6.8,999,999,99
85,9,18,21,355,4.9,7.4,2.7,10,7.7,999,1016.9,6.8,999,999,99
85,9,18,22,333,6.3,8.2,3.1,11.1,8.2,999,1016.9,7.1,999,999,99
85,9,18,23,339,6,8.2,3,11.1,7.9,999,1017.3,6.4,999,999,99
85,9,19,0,323,6.6,8.8,3.1,10,7.5,999,1017.4,6.9,999,999,99
85,9,19,1,319,5.8,7.7,3.2,11.1,8,999,1017.5,6.9,999,999,99
85,9,19,2,314,5.8,7.7,3.2,11.1,8,999,1017.5,6.9,999,999,99
85,9,19,3,306,5.3,7.8,3,11.1,8,999,1017.4,7,999,999,99
85,9,19,4,300,5,6.7,2.6,11.1,7.7,999,1017.6,6,999,999,99
85,9,19,5,346,5,6.5,2.6,11.1,7.4,999,1017.7,6.4,999,999,99
85,9,19,6,299,5.9,7.6,2.6,11.1,7.5,999,1017.9,6.9,999,999,99
85,9,19,7,308,5.1,6.5,2.2,11.1,7.1,999,1018.2,7,999,999,99
85,9,19,10,253,4.8,6.2,2,10,7,999,1019.1,7.1,999,999,99
85,9,19,11,255,5.1,6.7,2.2,10,7.3,999,1019.3,6.9,999,999,99
85,9,19,12,277,3.4,5.5,2.2,10,7.4,999,1019.4,6.9,999,999,99
85,9,19,13,260,4.8,6.4,2.2,10,7.6,999,1019.3,6.9,999,999,99
85,9,19,14,258,3.4,5,2,9.1,7.4,999,1019.3,6.9,999,999,99
85,9,19,15,243,5.1,6.5,2,10,7.6,999,1019.2,6.7,999,999,99
85,9,19,16,245,5.9,7.4,1.9,10,7.5,999,1019.2,6.7,999,999,99
85,9,19,17,240,4.8,6.3,1.8,10,7.5,999,1019.4,6.7,999,999,99
85,9,19,18,251,5.5,7.3,1.8,9.1,7.2,999,1019.5,6.7,999,999,99
85,9,19,19,239,4.9,6.6,1.5,9.1,6.5,999,1019.9,6.7,999,999,99
